"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
CHE F377,DESIGN PROJECT,-,-,3,1,VIKRANT KUMAR S,,,
,,,,,,,,,
CHE F411,ENVIR POLLUTION CONTROL,3,-,3,1,D PURNIMA,T Th S,4,
,,,,,,,,,
CHE F414,TRANSPORT PHENOMENA,3,-,3,1,VIKRANT KUMAR S,M W F,4,
,,,,,,,,,
CHE F422,PETRO. REFI. TECH.,3,-,3,1,SRIKANTA DINDA,M W F,5,
,,,,,,,,,
CHE F433,CORROSION ENGINEERING,3,-,3,1,RAMESH BABU A,T Th S,5,
,,,,,,,,,
CHE G523,"MATHEMATICAL METHODS INCHEMICAL ENGINEERING",3,2,5,1,VIKRANT KUMAR S,T Th S,4,
,,,,,,,,,
,Practical,,,,,Vikrant Kumar S,Th,7 8 9,
,,,,,,,,,
,,,,,,Dasika Prabhat Sourya,,,
,,,,,,,,,
CHE G556,ELECTROCHEMICAL ENGINERING,3,1,4,1,BALAJI KRISHNAMURTHY,M W F,4,
,,,,,,,,,
,Practical,,,,,Balaji Krishnamurthy,T,2 3,
,,,,,,,,,
,,,,,,Suresh Kanuri,,,
,,,,,,,,,
CHE G558,CHEMICAL PROCESS OPTIMIZATION,-,-,4,1,NANDINI BHANDARU,M W F,7,
,,,,,,,,,
,,,,,,P Saikiran,,,
,,,,,,,,,
CHE G622,ADV CHEMICAL ENGG THERMO,3,2,5,1,I SREEDHAR,M W F,3,
,,,,,,,,,
,Practical,,,,,I Sreedhar,T,7 8 9,
,,,,,,,,,
,,,,,,Yaddanapudi Varun,,,
,,,,,,,,,
CHEM F111,GENERAL CHEMISTRY,3,-,3,3,Amit Nag,T Th S,2,
,,,,,,,,,
,,,,,,Himanshu Aggarwal,,,
,,,,,,,,,
,Tutorial,,,,10,Amit Nag,T Th,7,
,,,,,,,,,
,,,,,,Himanshu Aggarwal,,,
,,,,,,,,,
CHEM F211,PHYSICAL CHEMISTRY I,3,-,3,1,SUBIT KUMAR SAHA,T Th S,5,
,,,,,,,,,
,Tutorial,,,,,Subit Kumar Saha,Th,8,
,,,,,,,,,
CHEM F212,ORGANIC CHEMISTRY I,3,-,3,1,MANAB CHAKRAVARTY,M W F,8,
,,,,,,,,,
,Tutorial,,,,,Manab Chakravarty,Th,9,
,,,,,,,,,
,,,,,,Sameer Singh,,,
,,,,,,,,,
"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
CHEM F213,PHYSICAL CHEMISTRY II,3,-,3,1,K SUMITHRA,M W F,2,
,,,,,,,,,
,Tutorial,,,,,K Sumithra,T,1,
,,,,,,,,,
CHEM F214,INORGANIC CHEMISTRY I,3,-,3,1,N RAJESH,M W F,3,
,,,,,,,,,
,Tutorial,,,,,N Rajesh,Th,1,
,,,,,,,,,
,,,,,,Arunraj B,,,
,,,,,,,,,
CHEM F266,STUDY PROJECT,-,-,3,1,CHANCHAL CHAKRAVART,,,
,,,,,,,,,
CHEM F311,ORGANIC CHEMISTRY III,3,-,3,1,KVG CHANDRASEKHAR,M W F,4,
,,,,,,,,,
,Tutorial,,,,,KVG Chandrasekhar,T,8,
,,,,,,,,,
CHEM F312,PHYSICAL CHEMISTRY IV,3,-,3,1,DURBA ROY,M W F,5,
,,,,,,,,,
,,,,,,Sayantan Halder,,,
,,,,,,,,,
,Tutorial,,,,,Durba Roy,W,1,
,,,,,,,,,
CHEM F325,POLYMER CHEMISTRY,3,-,3,1,CHANCHAL CHAKRAVART,M W F,2,
,,,,,,,,,
,,,,,,J Subbalakshmi,,,
,,,,,,,,,
,,,,,,Sd Anwarhussaini,,,
,,,,,,,,,
CHEM F326,SOLID STATE CHEMISTRY,3,-,3,1,SOUNAK ROY,T Th S,3,
,,,,,,,,,
,,,,,,Saraswati Roy,,,
,,,,,,,,,
